k,time,Log-likelihood,bic,aic,algo
9,0.03588676452636719,-0.234773024218,2000996.97706,2000465.25408,EM_PCA
10,0.06389999389648438,1.49878753532,2000599.2707,2000008.15313,EM_PCA
11,0.10694003105163574,0.881739328464,2000977.07014,2000326.55798,EM_PCA
12,0.15357398986816406,1.89693944345,2000865.19832,2000155.29157,EM_PCA
13,0.14328503608703613,2.1286316362,2000790.75249,2000021.45115,EM_PCA
14,0.0576939582824707,2.24705396012,500872.293619,500043.597694,EM_PCA
15,0.08179783821105957,2.99997471189,2000962.00493,2000073.91442,EM_PCA
16,0.12489080429077148,2.03858144482,2001263.61025,2000316.12515,EM_PCA
17,0.1416928768157959,2.11618786311,2001347.99617,2000341.11648,EM_PCA
18,0.11878490447998047,3.74942299741,2001055.69894,1999989.42466,EM_PCA
19,0.10261178016662598,2.14939160561,2001594.45716,2000468.7883,EM_PCA
2,0.025230884552001953,-4.67156915404,1309.60766384,1193.64680061,EM_RP
3,0.024454832077026367,-1.29514408184,646.622841763,471.26739005,EM_RP
4,0.02449202537536621,-0.769643145383,691.128787557,456.378747361,EM_RP
5,0.02409815788269043,-0.798076859652,250776.250053,250482.105425,EM_RP
6,0.0383450984954834,0.705076905761,1000534.31188,1000180.77266,EM_RP
7,0.06649589538574219,0.0485623876016,1000860.65406,1000447.72026,EM_RP
8,0.18318581581115723,-0.0727994316307,1001019.76348,1000547.43509,EM_RP
9,0.08919477462768555,-0.0809799519484,1001130.89104,1000599.16806,EM_RP
10,0.1473701000213623,0.976303628961,1000982.80457,1000391.687,EM_RP
11,0.09566807746887207,1.29121388235,250926.685913,250276.173754,EM_RP
12,0.09387493133544922,0.1161910132,1001438.22457,1000728.31782,EM_RP
13,0.18501782417297363,0.341856583324,1001487.85058,1000718.54924,EM_RP
14,0.18581199645996094,2.28209644566,1000988.34597,1000159.65004,EM_RP
15,0.22988677024841309,2.4793971478,1001071.71725,1000183.62673,EM_RP
16,0.19663786888122559,1.92051007111,1369.71225405,422.227152057,EM_RP
17,0.12701821327209473,2.09152841731,1001604.26933,1000597.38964,EM_RP
18,0.26561689376831055,1.55264505235,1001747.38714,1000681.11286,EM_RP
19,0.24122905731201172,2.98422725923,1001497.83978,1000372.17091,EM_RP
